,cn2,esco,perco,awc,surlag,alpha,NSE
10,22.42786086272608,0.5202203132368826,-8.720212214583153,-10.512056309592577,9.69195940899819,15.679680930193662,-2.0418410199414208
9,22.42786086272608,0.5202203132368826,-8.6338734797853,-10.512056309592577,9.69195940899819,15.679680930193662,-2.0418493975660748
9,22.42786086272608,0.5150696170662203,-8.6338734797853,-10.512056309592577,9.69195940899819,15.679680930193662,-2.0418493975660748
10,22.42786086272608,0.5202203132368826,-8.720212214583153,-10.617176872688503,9.69195940899819,15.679680930193662,-2.041888494949185
10,22.42786086272608,0.5202203132368826,-8.720212214583153,-10.617176872688503,9.788879003088171,15.679680930193662,-2.041888494949185
10,22.42786086272608,0.5202203132368826,-8.720212214583153,-10.617176872688503,9.788879003088171,15.8364777394956,-2.041888494949185
9,22.20580283438225,0.5150696170662203,-8.6338734797853,-10.512056309592577,9.69195940899819,15.679680930193662,-2.042728699140683
6,21.413393623227257,0.5289674734557375,-6.490086380446632,-13.708684031928234,15.277571968260084,1.9408440149598531,-2.0576501833932
6,21.413393623227257,0.5237301717383539,-6.425828099452112,-13.708684031928234,15.277571968260084,1.9408440149598531,-2.0576502549005644
6,21.413393623227257,0.5289674734557375,-6.425828099452112,-13.708684031928234,15.277571968260084,1.9408440149598531,-2.0576502549005644
6,21.413393623227257,0.5289674734557375,-6.490086380446632,-13.845770872247517,15.430347687942684,1.960252455109452,-2.057650325638141
6,21.413393623227257,0.5289674734557375,-6.490086380446632,-13.845770872247517,15.277571968260084,1.9408440149598531,-2.057650325638141
6,21.413393623227257,0.5289674734557375,-6.490086380446632,-13.845770872247517,15.430347687942684,1.9408440149598531,-2.057650325638141
6,21.201379824977483,0.5237301717383539,-6.425828099452112,-13.708684031928234,15.277571968260084,1.9408440149598531,-2.0647025096378395
7,15.722179730343038,0.2286089480526937,19.60839185314696,12.710581451582836,-10.973896298719144,-5.480594707179131,-2.199415182428973
7,15.722179730343038,0.2286089480526937,19.60839185314696,12.710581451582836,-11.083635261706334,-5.480594707179131,-2.199415182428973
7,15.722179730343038,0.2286089480526937,19.60839185314696,12.710581451582836,-11.083635261706334,-5.535400654250923,-2.199415182428973
7,15.722179730343038,0.2286089480526937,19.414249359551444,12.584734110478056,-10.973896298719144,-5.480594707179131,-2.1994369381238785
7,15.722179730343038,0.2263454931214789,19.414249359551444,12.584734110478056,-10.973896298719144,-5.480594707179131,-2.1994369381238785
7,15.722179730343038,0.2286089480526937,19.60839185314696,12.584734110478056,-10.973896298719144,-5.480594707179131,-2.199554280298907
