date,flow_cms,source
2015-04-01,225.34499496314675,RODA NWM v3.0 (cached)
2015-04-02,223.2245783438751,RODA NWM v3.0 (cached)
2015-04-03,218.89957844054638,RODA NWM v3.0 (cached)
2015-04-04,219.1874951007776,RODA NWM v3.0 (cached)
2015-04-05,218.74874511058442,RODA NWM v3.0 (cached)
2015-04-06,211.47999527305365,RODA NWM v3.0 (cached)
2015-04-07,203.12874545971863,RODA NWM v3.0 (cached)
2015-04-08,213.17666190179685,RODA NWM v3.0 (cached)
2015-04-09,235.09874474513344,RODA NWM v3.0 (cached)
2015-04-10,261.28791082642664,RODA NWM v3.0 (cached)
2015-04-11,287.8529102326526,RODA NWM v3.0 (cached)
2015-04-12,278.2958271129367,RODA NWM v3.0 (cached)
2015-04-13,301.9487432509195,RODA NWM v3.0 (cached)
2015-04-14,363.20040854850475,RODA NWM v3.0 (cached)
2015-04-15,381.52374147227965,RODA NWM v3.0 (cached)
2015-04-16,377.2254082350216,RODA NWM v3.0 (cached)
2015-04-17,358.2587419922929,RODA NWM v3.0 (cached)
2015-04-18,336.20165915197384,RODA NWM v3.0 (cached)
2015-04-19,309.64999307878315,RODA NWM v3.0 (cached)
2015-04-20,286.6483269262438,RODA NWM v3.0 (cached)
2015-04-21,272.5808272406769,RODA NWM v3.0 (cached)
2015-04-22,256.3695776030266,RODA NWM v3.0 (cached)
2015-04-23,242.09041125552417,RODA NWM v3.0 (cached)
2015-04-24,226.4316616055245,RODA NWM v3.0 (cached)
2015-04-25,223.0508283477587,RODA NWM v3.0 (cached)
2015-04-26,239.26791131861197,RODA NWM v3.0 (cached)
2015-04-27,246.16874449769966,RODA NWM v3.0 (cached)
2015-04-28,248.7699944395572,RODA NWM v3.0 (cached)
2015-04-29,245.01457785683064,RODA NWM v3.0 (cached)
2015-04-30,236.2874947185628,RODA NWM v3.0 (cached)
2015-05-01,232.30041147434773,RODA NWM v3.0 (cached)
2015-05-02,228.20957823245166,RODA NWM v3.0 (cached)
2015-05-03,216.39874516311102,RODA NWM v3.0 (cached)
2015-05-04,204.22999543510377,RODA NWM v3.0 (cached)
2015-05-05,193.24957901386855,RODA NWM v3.0 (cached)
2015-05-06,184.50332920936248,RODA NWM v3.0 (cached)
2015-05-07,173.52374612144195,RODA NWM v3.0 (cached)
2015-05-08,161.9645797131428,RODA NWM v3.0 (cached)
2015-05-09,149.8133299847444,RODA NWM v3.0 (cached)
2015-05-10,141.0762468467001,RODA NWM v3.0 (cached)
2015-05-11,135.9070802955733,RODA NWM v3.0 (cached)
2015-05-12,134.35124699701555,RODA NWM v3.0 (cached)
2015-05-13,134.01124700461514,RODA NWM v3.0 (cached)
2015-05-14,131.49666372748712,RODA NWM v3.0 (cached)
2015-05-15,128.79833045446625,RODA NWM v3.0 (cached)
2015-05-16,128.7370804558353,RODA NWM v3.0 (cached)
2015-05-17,132.49958037173687,RODA NWM v3.0 (cached)
2015-05-18,142.4704134822047,RODA NWM v3.0 (cached)
2015-05-19,150.0654133124432,RODA NWM v3.0 (cached)
2015-05-20,149.25041333065988,RODA NWM v3.0 (cached)
2015-05-21,145.08833009035638,RODA NWM v3.0 (cached)
2015-05-22,144.8670800953017,RODA NWM v3.0 (cached)
2015-05-23,148.8574966727756,RODA NWM v3.0 (cached)
2015-05-24,147.41874670493416,RODA NWM v3.0 (cached)
2015-05-25,139.32999688573182,RODA NWM v3.0 (cached)
2015-05-26,131.85249705286697,RODA NWM v3.0 (cached)
2015-05-27,125.50124719482847,RODA NWM v3.0 (cached)
2015-05-28,124.58833054856707,RODA NWM v3.0 (cached)
